BACK_VIEW_ MESH______ new_s1_back6	        -2000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 2000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 2000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 2000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 3000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 3000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 3000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 4000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 4000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 4000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 5000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 5000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 5000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 6000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 6000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 6000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 7000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 7000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 7000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 8000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 8000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 8000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 9000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 9000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 9000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		10000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		10000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		10000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,



BACK_VIEW_ MESH______ stage1_back		11000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		11000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		11000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		12000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		12000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		12000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		13000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		13000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		13000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		14000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		14000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		14000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		15000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		15000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		15000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		16000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		16000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		16000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		17000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		17000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		17000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		18000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		18000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		18000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		19000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		19000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		19000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		20000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		20000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		20000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		21000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		21000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		21000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		22000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		22000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		22000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		23000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		23000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		23000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		24000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		24000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		24000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		25000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		25000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		25000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		26000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		26000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		26000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		27000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		27000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		27000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		28000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		28000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		28000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		29000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		29000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		29000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		30000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		30000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		30000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
BACK_VIEW_ MESH______ stage1_back		31000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		31000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		31000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		32000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		32000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		32000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		33000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		33000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		33000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		34000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		34000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		34000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		35000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		35000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		35000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		36000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		36000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		36000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		37000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		37000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		37000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		38000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		38000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		38000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		39000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		39000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		39000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		40000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		40000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		40000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		40900.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		40900.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		40900.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		41800.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		41800.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		41800.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		42800.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		42800.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		42800.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		43800.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		43800.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		43800.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,


HIT_______ MESH______ ground_hit2		-6150.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		-1250.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		 3650.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		 8550.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		13450.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		18350.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		23250.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		28150.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		33050.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		37950.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		41750.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		43850.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		47750.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
HIT_______ MESH______ ground_hit2		51650.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,


VIEW_HIT__ SO_COMP___ new_s8_gate		   2000.0,  0.0,     0.0,   0.0,  0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s7_hashira		   2000.0,  20.0,  1600.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool		   2000.0,  -200.0, -1500.0,   0.0,   90.0,   0.0,   1.0,   1.0,


BACK_VIEW_ MESH______ new_s8_wool				   3000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   5000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   7000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   9000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   11000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   13000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   15000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   17000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   19000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   21000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   23000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   25000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   27000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   29000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   31000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   33000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   35000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   37000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   39000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   41000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s8_wool				   43000.0,  0.0, 1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,


VIEW_HIT__ SO_COMP___ new_s8_kaidan		   8000.0,  0.0,    0.0,   0.0,  0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s8_kaidan_gate	  9400.0,  1600.0,    0.0,   0.0,  0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s8_kaidan		  10840.0,  0.0,    0.0,   0.0,  180.0,   0.0,   1.0,   1.0,

VIEW_HIT__ SO_COMP___ new_s8_3kaidan		  16000.0,  0.0,    0.0,   0.0,  0.0,   0.0,   1.0,   1.0,

VIEW_HIT__ SO_HALFREA new_s6_box		21000.0,1800.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		22000.0,1300.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		22000.0,2300.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s6_box		22500.0,1300.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		23000.0,2300.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_HALFREA new_s6_box		23280.0,750.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s8_3kaidan		  23000.0,  0.0,    0.0,   0.0,  0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s8_9kaidan		  25000.0,  0.0,    0.0,   0.0,  0.0,   0.0,   1.0,   1.0,

VIEW_HIT__ SO_COMP___ new_s6_box		30500.0,600.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 

VIEW_HIT__ SO_COMP___ new_s6_box		  31500.0,   0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		  31500.0,1200.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 

VIEW_HIT__ SO_COMP___ new_s8_wool		  32000.0,  0.0,    500.0,   0.0,  90.0,   0.0,   1.0,   1.0,


VIEW_HIT__ SO_COMP___ new_s6_box		  34000.0,1200.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		  38000.0,1200.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 

VIEW_HIT__ SO_COMP___ new_s6_box		  34000.0,0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		  36000.0,0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_COMP___ new_s6_box		  38000.0,0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 

VIEW_HIT__ SO_INCOMP_ new_s6_box		6000.0,0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_INCOMP_ new_s6_box		6500.0,500.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_INCOMP_ new_s6_box		6500.0,1000.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 


VIEW_HIT__ SO_HALFSHA new_s6_box		12000.0,2000.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_INCOMP_ new_s8_wool	       14000.0,  0.0, -200.0,   0.0,   90.0,   0.0,   1.0,   1.0,

VIEW_HIT__ SO_COMP___ new_s6_box	       17250.0,0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 

VIEW_HIT__ SO_HALFSHA new_s6_box	       17500.0,1000.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 
VIEW_HIT__ SO_HALFSHA new_s6_box	       18000.0,1500.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0, 

VIEW_HIT__ SO_HALFSHA new_s8_wool	       20000.0,  0.0, -200.0,   0.0,   90.0,   0.0,   1.0,   1.0,

VIEW_HIT__ SO_HALFREA new_s8_wool		   28000.0,  0.0,  -200.0,   0.0,   90.0,   0.0,   1.0,   1.0,

